PotLabel,Flat,Position,Treatment,EmergenceDate,BoltingDate,Root,FloweringDate,Notes
101-3-C,1,9,Current,11/6/2024,1/26/2025,1,,root harvested; close to bolt 1/25
943-3-C,1,19,Current,11/7/2024,2/2/2025,1,,root harvested
947-18-C,1,28,Current,11/7/2024,2/3/2025,0,27-Feb,
905-3-C,2,32,Current,11/7/2024,2/3/2025,1,,root harvested
942-3-C,3,14,Current,11/6/2024,2/7/2025,1,,root harvested
113-3-C,3,24,Current,11/7/2024,1/24/2025,1,,root harvested
103-3-C,6,10,Current,11/7/2024,1/23/2025,1,,root harvested
108-3-C,6,18,Current,11/7/2024,1/27/2025,1,,root harvested
937-3-C,7,17,Current,11/7/2024,2/2/2025,1,,root harvested
913-3-C,7,28,Current,11/7/2024,2/2/2025,1,,root harvested
111-3-C,8,13,Current,11/13/2024,2/3/2025,1,,no in flat? Found.
104-3-C,9,24,Current,11/6/2024,1/21/2025,1,,root harvested
926-3-C,10,12,Current,11/7/2024,2/3/2025,1,,root harvested
114-3-C,11,24,Current,,,1,,never emerged
933-3-C,11,30,Current,11/7/2024,2/6/2025,1,,root harvested; close to bolt 2/4
903-3-C,12,18,Current,11/7/2024,2/5/2025,1,,root harvested
115-3-C,13,6,Current,11/7/2024,1/25/2025,1,,root harvested
107-3-C,13,25,Current,11/9/2024,,1,,removed 12/2/24
902-3-C,13,30,Current,11/7/2024,2/2/2025,1,,root harvested
921-3-C,14,1,Current,11/7/2024,2/4/2025,1,,root harvested
105-3-C,14,2,Current,11/13/2024,,1,,up 11/12 but no cotelydons visible - just the raised seed. Removed 12/2/24
102-3-C,14,9,Current,11/9/2024,,1,,removed 12/2/24
112-20-C,15,2,Current,11/7/2024,1/20/2025,0,6-Feb,"flwr open on side 2/5, still only 1 flwr partly open 2/9"
910-3-C,15,7,Current,11/7/2024,2/2/2025,1,27-Feb,not root harvested
105-3-F,2,23,Future,11/8/2024,1/31/2025,1,,root harvested
107-3-F,3,25,Future,,,1,,removed 12/2/24
115-3-F,4,23,Future,11/6/2024,1/26/2025,1,,root harvested; close to bolt 1/25
937-3-F,4,27,Future,11/7/2024,2/3/2025,1,,root harvested
112-20-F,4,29,Future,11/7/2024,1/25/2025,0,6-Feb,flwr open on side 2/5; absolutely open 2/9
947-18-F,5,6,Future,11/7/2024,2/3/2025,0,21-Feb,
926-3-F,5,18,Future,11/6/2024,2/4/2025,1,,root harvested
913-3-F,5,21,Future,11/6/2024,2/3/2025,1,,root harvested
113-3-F,5,26,Future,11/6/2024,1/24/2025,1,,root harvested
921-3-F,5,31,Future,11/6/2024,1/28/2025,1,,root harvested
910-3-F,6,11,Future,11/6/2024,2/3/2025,1,22-Feb,not root harvested
104-3-F,6,12,Future,11/6/2024,1/18/2025,1,,root harvested
943-3-F,6,14,Future,11/7/2024,1/31/2025,1,,root harvested
933-3-F,7,21,Future,11/7/2024,2/13/2025,1,,root harvested; almost 2/8 but then touched again and decided no; 2/9 looks flat and uniform in middle
108-3-F,8,20,Future,11/6/2024,1/28/2025,1,,root harvested
101-3-F,8,27,Future,11/6/2024,1/25/2025,1,,root harvested
903-3-F,9,18,Future,11/7/2024,2/3/2025,1,,root harvested
114-3-F,9,29,Future,,,1,,removed 12/2/24
102-3-F,10,7,Future,11/11/2024,1/28/2025,1,,root harvested
902-3-F,10,16,Future,11/6/2024,2/4/2025,1,,root harvested
103-3-F,12,7,Future,11/7/2024,1/22/2025,1,,root harvested
111-3-F,13,7,Future,11/12/2024,1/30/2025,1,,root harvested
905-3-F,14,15,Future,11/6/2024,2/3/2025,1,,root harvested
942-3-F,15,31,Future,11/7/2024,2/9/2025,1,,almost folt 2/7 and 2/8; root harvested
