PotLabel,Flat,Pos,Trt,11/11/2024,11/15/2024,11/18/2024,11/22/2024,11/25/2024,11/29/2024,12/2/2024,12/6/2024,12/9/2024,12/13/2024,12/16/2024,12/20/2024,12/23/2024,12/27/2024,12/30/2024,1/3/2025,1/6/2025,1/10/2025,1/13/2025,1/17/2025,1/20/2024,1/24/2025,1/27/2025,1/31/2025,2/3/2025,2/7/2025,2/10/2025,2/14/2025,2/17/2025,2/21/2025,Notes5,2/24/2025,2/28/2025,Notes6
101-3-C,1,9,Cur,2,4,6,7,8,9,11,11,13,18,21,23,Skipped due to break ,Skipped due to break,29,32,34,35,38,40,44,48,53,Removed ,Removed,Removed,Removed,,,,,,,
943-3-C,1,19,Cur,2,4,5,6,8,8,10,10,12,16,19,21,Skipped due to break ,Skipped due to break,26,28,30,33,36,36,38,42,44,49,49,Removed,Removed,,,,,,,
947-18-C,1,28,Cur,2,4,5,6,7,9,9,10,12,18,21,23,Skipped due to break ,Skipped due to break,28,32,33,37,40,45,47,51,54,62,64,66,68,,,,,,,
905-3-C,2,32,Cur,2,4,4,6,7,8,10,10,13,14,16,18,Skipped due to break ,Skipped due to break,24,26,29,30,32,34,37,40,42,48,50,Removed,Removed,,,,,,,
942-3-C,3,14,Cur,2,4,4,6,8,8,10,10,14,22,27,30,Skipped due to break ,Skipped due to break,37,39,39,48,48,48,51,55,60,65,65,67,73,,,,,,,
113-3-C,3,24,Cur,,,,,8,9,10,11,13,16,18,19,Skipped due to break ,Skipped due to break,24,26,30,34,35,37,40,48,Removed,Removed,Removed,Removed,Removed,,,,,,,
103-3-C,6,10,Cur,2,2,4,5,6,7,7,7,10,12,14,14,Skipped due to break ,Skipped due to break,17,18,19,23,24,26,28,Removed,Removed,Removed,Removed,Removed,Removed,,,,,,,
108-3-C,6,18,Cur,2,4,4,6,7,8,9,9,12,15,18,18,Skipped due to break ,Skipped due to break,24,26,26,31,31,33,38,44,50,Removed,Removed,Removed,Removed,,,,,,,
937-3-C,7,17,Cur,2,4,4,6,7,8,9,9,12,13,15,18,Skipped due to break ,Skipped due to break,22,24,25,28,29,31,34,36,41,48,50,Removed,Removed,,,,,,,
913-3-C,7,28,Cur,2,4,4,6,7,8,9,9,12,14,17,18,Skipped due to break ,Skipped due to break,25,26,27,31,32,34,36,40,46,51,51,Removed,Removed,,,,,,,
111-3-C,8,13,Cur,0,0,0,2,2,4,4,4,6,6,7,8,Skipped due to break ,Skipped due to break,10,11,11,13,14,14,16,16,20,24,27,Removed,Removed,,,,,,,
104-3-C,9,24,Cur,2,4,4,6,7,9,10,11,13,17,19,20,Skipped due to break ,Skipped due to break,27,27,30,35,37,38,40,Removed,Removed,Removed ,Removed,Removed,Removed,,,,,,,
